time,device,source,rssi,tag
2022-10-27 22:16:48.338740+00:00,david phone,living_room_blinds,-72,basement-david-20221027
2022-10-27 22:16:48.864674+00:00,david watch,basement_pi,-87,basement-david-20221027
2022-10-27 22:16:49.060161+00:00,david watch,basement_beacon,-65,basement-david-20221027
2022-10-27 22:16:49.097025+00:00,aysylu watch,bedroom_blinds,-82,basement-david-20221027
2022-10-27 22:16:49.109655+00:00,aysylu phone,basement_pi,-98,basement-david-20221027
2022-10-27 22:16:49.111010+00:00,aysylu watch,basement_pi,-92,basement-david-20221027
2022-10-27 22:16:49.112186+00:00,david phone,basement_pi,-89,basement-david-20221027
2022-10-27 22:16:49.333041+00:00,aysylu phone,basement_pi,-98,basement-david-20221027
2022-10-27 22:16:49.334612+00:00,david watch,basement_pi,-87,basement-david-20221027
2022-10-27 22:16:50.215994+00:00,david phone,living_room_blinds,-76,basement-david-20221027
2022-10-27 22:16:51.318958+00:00,aysylu watch,basement_beacon,-86,basement-david-20221027
2022-10-27 22:16:51.347921+00:00,david phone,basement_beacon,-37,basement-david-20221027
2022-10-27 22:16:51.821688+00:00,david watch,living_room_blinds,-81,basement-david-20221027
2022-10-27 22:16:52.151803+00:00,aysylu watch,living_room_blinds,-92,basement-david-20221027
2022-10-27 22:16:52.155010+00:00,david phone,living_room_blinds,-76,basement-david-20221027
2022-10-27 22:16:52.949594+00:00,david watch,basement_beacon,-63,basement-david-20221027
2022-10-27 22:16:53.255649+00:00,david phone,basement_beacon,-39,basement-david-20221027
2022-10-27 22:16:54.075677+00:00,david phone,living_room_blinds,-77,basement-david-20221027
2022-10-27 22:16:54.890209+00:00,david phone,bedroom_blinds,-87,basement-david-20221027
2022-10-27 22:16:54.896316+00:00,david watch,basement_beacon,-54,basement-david-20221027
2022-10-27 22:16:55.200440+00:00,aysylu watch,bedroom_blinds,-85,basement-david-20221027
2022-10-27 22:16:56.020393+00:00,david phone,living_room_blinds,-82,basement-david-20221027
2022-10-27 22:16:57.072568+00:00,david phone,basement_beacon,-39,basement-david-20221027
2022-10-27 22:16:58.982816+00:00,david watch,basement_beacon,-54,basement-david-20221027
2022-10-27 22:16:59.795156+00:00,aysylu phone,basement_pi,-98,basement-david-20221027
2022-10-27 22:16:59.826350+00:00,david phone,living_room_blinds,-77,basement-david-20221027
2022-10-27 22:16:59.955782+00:00,david watch,basement_pi,-87,basement-david-20221027
2022-10-27 22:17:00.061959+00:00,aysylu phone,basement_pi,-98,basement-david-20221027
2022-10-27 22:17:00.087215+00:00,david phone,basement_pi,-89,basement-david-20221027
2022-10-27 22:17:00.624469+00:00,aysylu phone,bedroom_blinds,-93,basement-david-20221027
2022-10-27 22:17:00.906842+00:00,aysylu watch,basement_pi,-92,basement-david-20221027
2022-10-27 22:17:00.908005+00:00,david watch,basement_pi,-87,basement-david-20221027
2022-10-27 22:17:00.936115+00:00,david watch,basement_beacon,-57,basement-david-20221027
2022-10-27 22:17:00.939921+00:00,aysylu watch,basement_pi,-92,basement-david-20221027
2022-10-27 22:17:01.758227+00:00,david watch,living_room_blinds,-79,basement-david-20221027
2022-10-27 22:17:02.879904+00:00,david watch,basement_beacon,-54,basement-david-20221027
2022-10-27 22:17:03.194138+00:00,david phone,basement_beacon,-37,basement-david-20221027
2022-10-27 22:17:04.020797+00:00,david phone,living_room_blinds,-72,basement-david-20221027
2022-10-27 22:17:04.757561+00:00,aysylu phone,basement_beacon,-79,basement-david-20221027
2022-10-27 22:17:04.831696+00:00,david watch,basement_beacon,-64,basement-david-20221027
2022-10-27 22:17:05.075587+00:00,david phone,bedroom_blinds,-84,basement-david-20221027
2022-10-27 22:17:05.132977+00:00,aysylu watch,basement_beacon,-82,basement-david-20221027
2022-10-27 22:17:05.135380+00:00,david phone,basement_beacon,-35,basement-david-20221027
2022-10-27 22:17:08.931765+00:00,david watch,basement_beacon,-58,basement-david-20221027
2022-10-27 22:17:08.939157+00:00,aysylu watch,bedroom_blinds,-93,basement-david-20221027
2022-10-27 22:17:08.948563+00:00,aysylu watch,basement_beacon,-80,basement-david-20221027
2022-10-27 22:17:10.084691+00:00,david phone,living_room_blinds,-77,basement-david-20221027
2022-10-27 22:17:10.857276+00:00,david phone,basement_pi,-89,basement-david-20221027
2022-10-27 22:17:10.871501+00:00,david watch,basement_beacon,-58,basement-david-20221027
2022-10-27 22:17:11.070740+00:00,aysylu phone,basement_pi,-98,basement-david-20221027
2022-10-27 22:17:11.200467+00:00,aysylu watch,basement_pi,-92,basement-david-20221027
2022-10-27 22:17:11.409002+00:00,aysylu watch,basement_pi,-92,basement-david-20221027
2022-10-27 22:17:11.666185+00:00,david watch,basement_pi,-87,basement-david-20221027
2022-10-27 22:17:11.997972+00:00,david phone,living_room_blinds,-72,basement-david-20221027
2022-10-27 22:17:13.130243+00:00,david phone,basement_beacon,-35,basement-david-20221027
2022-10-27 22:17:13.131070+00:00,aysylu watch,basement_beacon,-77,basement-david-20221027
2022-10-27 22:17:13.940222+00:00,david watch,living_room_blinds,-79,basement-david-20221027
2022-10-27 22:17:13.943520+00:00,david phone,living_room_blinds,-73,basement-david-20221027
2022-10-27 22:17:14.982804+00:00,david watch,basement_beacon,-57,basement-david-20221027
2022-10-27 22:17:16.937207+00:00,david watch,basement_beacon,-63,basement-david-20221027
2022-10-27 22:17:16.962155+00:00,aysylu watch,basement_beacon,-78,basement-david-20221027
2022-10-27 22:17:17.772222+00:00,david watch,living_room_blinds,-79,basement-david-20221027
2022-10-27 22:17:18.547219+00:00,aysylu phone,basement_beacon,-78,basement-david-20221027
2022-10-27 22:17:18.853974+00:00,david watch,basement_beacon,-54,basement-david-20221027
2022-10-27 22:17:20.494837+00:00,aysylu phone,basement_beacon,-81,basement-david-20221027
2022-10-27 22:17:20.797259+00:00,david phone,bedroom_blinds,-83,basement-david-20221027
2022-10-27 22:17:20.803148+00:00,david watch,bedroom_blinds,-91,basement-david-20221027
2022-10-27 22:17:21.618875+00:00,aysylu watch,basement_pi,-92,basement-david-20221027
2022-10-27 22:17:21.796897+00:00,aysylu phone,basement_pi,-98,basement-david-20221027
2022-10-27 22:17:21.853440+00:00,david watch,basement_pi,-87,basement-david-20221027
2022-10-27 22:17:22.002439+00:00,david phone,basement_pi,-89,basement-david-20221027
2022-10-27 22:17:22.136515+00:00,david phone,basement_pi,-89,basement-david-20221027
2022-10-27 22:17:22.354926+00:00,aysylu phone,basement_beacon,-85,basement-david-20221027
2022-10-27 22:17:22.687784+00:00,david watch,basement_beacon,-67,basement-david-20221027
